draft_id,skeleton_arguments_id,case_doc_id,input_type,model_used,generated_at,citation_index,citation,citation_normalized,citation_type,pinpoint,principle,application,binding_authority,linked_source_case_count,source_case_ids,source_case_titles,source_case_citations,citation_used_for_matching,search_id,verification_status,citation_in_linked_retrieval,citation_in_corpus_registry,match_method,match_score,matched_retrieved_case_id,matched_retrieved_case_title,explicit_source_case_id,explicit_source_case_title,matched_corpus_case_id,matched_corpus_case_title,invalid_source_case_ids,citation_identifier_conflict,manual_review_required,review_reason
cmlzpblc7000304jv62ixuvp8,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-02-23 21:41:26.596,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,,Adequacy of reasons in judgments must be satisfied for proper judicial analysis.,Ensures the court articulates reasoning behind determinations,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmlzp9luh000304l29ip4sjki,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmlzpblc7000304jv62ixuvp8,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-02-23 21:41:26.596,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,,Judges must provide adequate reasons fulfilling the duty to give reasons in rulings.,Reinforces the importance of comprehensible and justifiable judicial conclusions,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmlzp9luh000304l29ip4sjki,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmlzpblc7000304jv62ixuvp8,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-02-23 21:41:26.596,3,"Senior Courts Act 1981, s.35A",senior courts act 1981 s 35a,legislation_or_rule,,Allows for the granting of interest on amounts owed as part of judgments.,"Applies where monetary claims are decided, facilitating fair compensation for late payments.",binding,0,,,,"Senior Courts Act 1981, s.35A",cmlzp9luh000304l29ip4sjki,not_applicable_non_case_reference,no,no,no_match,0.0,,,,,,,,no,no,Legislation or procedural rule; not tested as a case citation.
cmlzphr57000h04jtqrwbfiyf,cmlzo9g9l000204l26mhyhchv,skeleton-args-ca2022008247-6c5b4a1058f7a82b,synthetic,gpt-4o-mini,2026-02-23 21:46:14.057,1,Neilson v. Poole [1969] 20 P&CR 909,neilson v poole 1969 20 p cr 909,case_law,N/A,Established the importance of historical evidence in boundary disputes.,Applicable to assess the validity of the claimed boundary.,persuasive,0,,,,Neilson v. Poole [1969] 20 P&CR 909,cmlzpfjvk000b04jtl1v4uh8a,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmlzphr57000h04jtqrwbfiyf,cmlzo9g9l000204l26mhyhchv,skeleton-args-ca2022008247-6c5b4a1058f7a82b,synthetic,gpt-4o-mini,2026-02-23 21:46:14.057,2,J A Pye (Oxford) Ltd v. Graham [2002] UKHL 30,j a pye oxford ltd v graham 2002 ukhl 30,case_law,at [35],Recognized adverse possession as a means to attain title through long occupation.,Directly informs the Respondent’s claims of possession rights.,binding,1,6e8e988c-074c-4ab1-9e37-5c84673b441b,Secretary of State for the Home Department v Cox & Ors,[2023] EWCA Civ 551,J A Pye (Oxford) Ltd v. Graham [2002] UKHL 30,cmlzpfjvk000b04jtl1v4uh8a,retrieved_id_citation_mismatch,no,no,no_match,0.0,,,6e8e988c-074c-4ab1-9e37-5c84673b441b,Secretary of State for the Home Department v Cox & Ors [2023] EWCA Civ 551 (19 May 2023),,,,no,yes,"The source ID is present in the retrieval, but it points to a record that does not match the generated citation."
cmlzrzxca000304l2qk1vevzx,cmlzrw1vp000204latdth8ikx,skeleton-args-ca2023002207-ce0aafdf6d7e5716,synthetic,gpt-4o-mini,2026-02-23 22:56:21.127,1,[2004] 1 WLR 1057,2004 1 wlr 1057,case_law,N/A,Duty of care in highway maintenance and inspections evaluated.,The principles established guide the expectations for highway authority inspections.,binding,1,70d43223-0ec6-458b-b052-bdc295e0d6ec,Brown & Ors v South West Lakes Trust & Ors,N/A,Gorringe v. Calderdale Metropolitan Borough Council [2004] 1 WLR 1057,cmlzry90i000b04laxzwy3gcm,retrieved_id_citation_mismatch,no,yes,exact_case_name,1.0,,,70d43223-0ec6-458b-b052-bdc295e0d6ec,Brown & Ors v South West Lakes Trust & Ors [2022] EWCA Civ 18,bc30491e-9ae6-48da-90d0-71d8a8069b22,Gorringe v. Calderdale Metropolitan Borough Council,,no,yes,"The source ID is present in the retrieval, but it points to a record that does not match the generated citation."
cmlzrzxca000304l2qk1vevzx,cmlzrw1vp000204latdth8ikx,skeleton-args-ca2023002207-ce0aafdf6d7e5716,synthetic,gpt-4o-mini,2026-02-23 22:56:21.127,2,[2015] UKSC 5,2015 uksc 5,case_law,N/A,Contributory negligence principles delineated in examining claimant's actions prior to incidents.,Guiding conclusions on responsibility of claimants when injuries occur.,binding,1,3b14442e-37b0-455c-a24f-a53a55c9f700,Humphrey v Aegis Defence Services Ltd & Anor,N/A,[2015] UKSC 5,cmlzry90i000b04laxzwy3gcm,retrieved_id_citation_mismatch,no,yes,citation_identifier,1.0,,,3b14442e-37b0-455c-a24f-a53a55c9f700,Humphrey v Aegis Defence Services Ltd & Anor [2016] EWCA Civ 11,0041913b-163e-4731-a443-e5a39849646a,Jackson v Murray & Anor [2015] UKSC 5,,no,yes,"The source ID is present in the retrieval, but it points to a record that does not match the generated citation."
cmlzy9ss300fz04i80p2yfbg1,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 01:51:59.472,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,N/A,Adequate reasoning is necessary in judicial decisions.,The reasoning must reflect statutory compliance and clarity in decisions affecting public funding.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmlzy6by600ft04i8cpz0rrjt,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmlzy9ss300fz04i80p2yfbg1,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 01:51:59.472,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,N/A,Establishes a duty to provide justification for decisions involving public funds.,"Public bodies must demonstrate their decisions are lawfully made, especially concerning substantial funding.",binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmlzy6by600ft04i8cpz0rrjt,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmlzy9ss300fz04i80p2yfbg1,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 01:51:59.472,3,CPR Practice Direction 52D,cpr practice direction 52d,legislation_or_rule,N/A,Directions concerning the citation and authorities in court proceedings.,Citations must adhere to established formatting and relevance standards in public law disputes.,binding,0,,,,CPR Practice Direction 52D,cmlzy6by600ft04i8cpz0rrjt,not_applicable_non_case_reference,no,no,no_match,0.0,,,,,,,,no,no,Legislation or procedural rule; not tested as a case citation.
