draft_id,skeleton_arguments_id,case_doc_id,input_type,model_used,generated_at,search_id,searched_at,match_method,search_to_draft_seconds,search_type,reported_total_results,retrieved_cases_in_export,average_similarity,top_retrieved_case,top_similarity_score,retrieved_case_ids,retrieved_case_titles,similarity_scores
cmlzpblc7000304jv62ixuvp8,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-02-23 21:41:26.596,cmlzp9luh000304l29ip4sjki,2026-02-23 21:39:53.831,latest_search_before_draft,92.765,advanced_qdrant_search,10,10,0.669721854,Altrad Services Ltd & Anor v Commissioners for HMRC [2023] EWCA Civ 474 (03 May 2023),0.68272364,d23d9f9f-4d0a-455a-bab1-0ce1a023b722 || 16f61521-59b6-4c57-8af3-c654be05eab0 || 2f2ce488-73d0-4422-abcd-2b014a9e52d1 || 53011b43-2d84-4830-953a-1b5b550f4f67 || 5f096d49-2a17-4252-839a-438cd198b444 || 7253e952-4693-4c28-8c6d-f176b4e6f194 || f2e312b7-9979-4341-a687-c55ade7d7fac || f088dcd9-a86b-4857-941b-1ba09d92fbc6 || c905ed54-034f-425d-908f-4d0fc7437e71 || 99e499ed-5641-4f75-8c33-a3c4e6031823,"Altrad Services Ltd & Anor v Commissioners for HMRC [2023] EWCA Civ 474 (03 May 2023) || BPP Holdings v Revenue And Customs [2016] EWCA Civ 121 || Totel Limited v HM Revenue and Customs [2016] EWCA Civ 1310 || The Quentin Skinner 2015 Settlement L & Ors v HM Revenue and Customs (Entrepeneurs' Relief) [2022] EWCA Civ 1222 || Dawson's (Wales) Ltd v Revenue & Customs [2023] EWCA Civ 332 || HMRC v GMAC (UK) Plc [2016] EWCA Civ 1015 (Court of Appeal, Civil Division) || IFX Investment Company Ltd and Ors v Revenue and Customs [2016] EWCA Civ 436 || Revenue & Customs v Gray & Farrar International LLP [2023] EWCA Civ 121 || Naghshineh v Commissioners for HM Revenue and Customs [2022] EWCA Civ 19 || Argentum Exploration Limited v The Silver and all persons claiming to be interested in and/or to have rights in respect of, the Silver [2022] EWCA Civ 1318",0.68272364 || 0.67462647 || 0.67187154 || 0.6712979 || 0.6697735 || 0.6695423 || 0.6665889 || 0.6665688 || 0.66280985 || 0.66141564
cmlzphr57000h04jtqrwbfiyf,cmlzo9g9l000204l26mhyhchv,skeleton-args-ca2022008247-6c5b4a1058f7a82b,synthetic,gpt-4o-mini,2026-02-23 21:46:14.057,cmlzpfjvk000b04jtl1v4uh8a,2026-02-23 21:44:31.24,latest_search_before_draft,102.817,advanced_qdrant_search,10,10,0.633064734,White & Anor v Amirtharaja & Anor [2022] EWCA Civ 11,0.65815496,34dfb3bd-01bb-45bf-b18a-fce4ecb24b45 || f4d639ad-f27c-47ba-a62c-bfc0c4c9430e || 6e8e988c-074c-4ab1-9e37-5c84673b441b || 4fb69c0f-f93b-4540-a62b-7db9f10a32aa || 63ef2757-1a67-40a3-a684-a4901ad74648 || d34db962-c7f4-46f4-9a77-df6d760ca7c4 || 5c0afba6-3b82-4ab2-9363-8c570514d87d || 52adf3bc-8b19-4f24-9782-4fb618e86779 || 73b3dc25-5f3f-4b55-a036-6843967dbba7 || 948fc767-31a4-4c63-b735-df551b7244eb,"White & Anor v Amirtharaja & Anor [2022] EWCA Civ 11 || Healey v Fraine & Ors [2023] EWCA Civ 549 || Secretary of State for the Home Department v Cox & Ors [2023] EWCA Civ 551 (19 May 2023) || Heaney v Kirkby [2016] EWCA Civ 689 || Ely v Robson [2016] EWCA Civ 774 || Watts v Stewart & Ors [2016] EWCA Civ 1247 || Doyle v M&D Foundations & Building Services Ltd [2022] EWCA Civ 927 || Candey Ltd v Bosheh & Anor [2022] EWCA Civ 1103 (01 August 2022) || SO, R (On the Application Of) v Thanet District Council (Re Costs) [2023] EWCA Civ 526 || Al-Rawas & Anor v Hassan Khan & Co & Anor [2022] EWCA Civ 671 (17 May 2022)",0.65815496 || 0.6543503 || 0.63672197 || 0.6361747 || 0.62874985 || 0.6258596 || 0.62310684 || 0.62303036 || 0.62245166 || 0.6220471
cmlzrzxca000304l2qk1vevzx,cmlzrw1vp000204latdth8ikx,skeleton-args-ca2023002207-ce0aafdf6d7e5716,synthetic,gpt-4o-mini,2026-02-23 22:56:21.127,cmlzry90i000b04laxzwy3gcm,2026-02-23 22:55:02.859,latest_search_before_draft,78.268,advanced_qdrant_search,10,10,0.679723288,Brown & Ors v South West Lakes Trust & Ors [2022] EWCA Civ 18,0.6996171,70d43223-0ec6-458b-b052-bdc295e0d6ec || 3b14442e-37b0-455c-a24f-a53a55c9f700 || 4685ad0e-87e7-4f59-8991-823ab27d9393 || 29b57846-31cd-4592-b0bb-d49f37fcc7bb || e16d7203-6f9e-4896-96e0-d021cb6f5579 || 9289473a-6889-4929-925d-2d6d66b75e86 || 7351e867-1c92-49d6-a602-686678f60a5f || 26a8199d-2c00-43b8-815c-036d01dbe2a6 || 6948a4df-0a45-4ddc-ae3d-8eafee44976a || 1ae781af-c482-402d-b18c-8d4c33432b24,Brown & Ors v South West Lakes Trust & Ors [2022] EWCA Civ 18 || Humphrey v Aegis Defence Services Ltd & Anor [2016] EWCA Civ 11 || Tindall & Anor v Chief Constable of Thames Valley Police & Anor [2022] EWCA Civ 25 || Dean and Chapter of Rochester Cathedral v Debell [2016] EWCA Civ 1094 || Edwards v London Borough of Sutton [2016] EWCA Civ 1005 || Secretary of State for Justice v Black [2016] EWCA Civ 125 || Howmet Limited v Economy Devices Limited & Ors [2016] EWCA Civ 847 || English Heritage v Taylor [2016] EWCA Civ 448 || Scott v Gavigan [2016] EWCA Civ 544 || HXA v Surrey County Council; YXA v Wolverhampton City Council (England and Wales Court of Appeal (Civil Division)),0.6996171 || 0.6941479 || 0.68254423 || 0.679224 || 0.6787658 || 0.674535 || 0.6743248 || 0.67418325 || 0.6729882 || 0.6669026
cmlzy9ss300fz04i80p2yfbg1,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 01:51:59.472,cmlzy6by600ft04i8cpz0rrjt,2026-02-24 01:49:17.609,latest_search_before_draft,161.863,advanced_qdrant_search,10,10,0.682067532,"Finch On Behalf of the Weald Action Group, R (On the Application Of) v Surrey County Council & Ors [2022] EWCA Civ 187",0.73531765,968e5c88-1f2c-4da8-9290-4111f416ec6e || 1d957476-2c0d-4578-8a43-679ec600e382 || f5a5b44e-fcf0-40c0-9bf9-69f026b1b438 || bab866ef-ca70-446c-a76d-a69bb3f7f15d || 774ce56b-3a21-4d9a-be0f-2e4cd8924a73 || a86c8039-4dcd-41c2-bbee-f72673a10ba2 || f52b20b0-a55d-4039-a67d-35811badb24b || 1bbfccbb-15e3-41bb-a970-7167b43b0267 || 4c3b8da7-6c82-4056-ab98-dea339f7af1d || f157dc58-8d24-4561-9b20-3df67da80a73,"Finch On Behalf of the Weald Action Group, R (On the Application Of) v Surrey County Council & Ors [2022] EWCA Civ 187 || Wyatt v Fareham Borough Council (Rev1) [2022] EWCA Civ 983 || London Borough of Enfield, R (on the application of) v Secretary of State for Transport & Ors [2016] EWCA Civ 480 || Rotala Plc, R (On the Application Of) v Greater Manchester Combined Authority & Anor [2022] EWCA Civ 1048 || Solar Century Holdings Ltd & Ors v Secretary of State for Energy and Climate Change [2016] EWCA Civ 117 || Rotherham Borough Council & Ors v Secretary of State for Business, Innovation And Skills || Cuciurean v Secretary of State for Transport & Anor [2022] EWCA Civ 1519 || Northern Gas Networks Ltd v Commissioners for HMRC [2022] EWCA Civ 910 || Ashchurch Rural Parish Council, R (On the Application Of) v Tewkesbury Borough Council [2023] EWCA Civ 101 || The Good Law Project, R (On the Application Of) v Minister for the Cabinet Office [2022] EWCA Civ 21",0.73531765 || 0.6896279 || 0.68071216 || 0.6805716 || 0.67992246 || 0.6791068 || 0.67299545 || 0.6714672 || 0.6675079 || 0.6634462
cmm0bebet000404jvmcxyqo4x,cmm0b5xup000504ibqdrxvam6,skeleton-args-ca2016009836-d5eefd60a70a11d6,synthetic,gpt-4o-mini,2026-02-24 07:59:25.251,cmm0b91t5000e04ibf7gf6ujr,2026-02-24 07:55:19.443,latest_search_before_draft,245.808,advanced_qdrant_search,10,10,0.678690925,Great Lakes Reinsurance (UK) SE v Western Trading Ltd [2016] EWCA Civ 1003 (11 October 2016),0.72396386,e050e594-d197-45f1-ba15-7d110c0d93c4 || d38848d5-b685-4b5f-8093-40563114db3b || 3fd15e8c-4fa9-4c85-ad33-49768aa69f0b || cc794994-d9ff-4e2a-a522-ddb742b52a12 || 426ca317-9dae-45bd-99cb-deb7de4b7766 || 794e2a8a-41a9-4839-a6c9-7ce1e812f4f1 || 638613f3-f321-4ccd-8055-aebfec6cec82 || 2f9fd02a-26e6-4859-90a8-5d64d042f0b9 || de6a53c9-c698-4f10-bef4-cf4544410c0e || 6e8e988c-074c-4ab1-9e37-5c84673b441b,"Great Lakes Reinsurance (UK) SE v Western Trading Ltd [2016] EWCA Civ 1003 (11 October 2016) || Shipowners' Mutual Protection and Indemnity Association (Luxembourg) v Containerships Denizcilik Nakliyat ve Ticaret A.S. (""Yusuf Cepnioglu"") [2016] EWCA Civ 386 || Bate v Aviva Insurance UK Ltd [2014] EWCA Civ 334 || Quadra Commodities S.A. v XL Insurance Company SE & Ors [2023] EWCA Civ 432 (21 April 2023) || Versloot Dredging BV & Anor v HDI Gerling Industrie Versicherung AG & Ors || Volcafe Ltd & Ors v Compania Sud Americana De Vapores SA (t/a CSAV) [2016] EWCA Civ 1103 || Ted Baker Plc & Anor v Axa Insurance UK Plc & Ors [2014] EWCA Civ 134 || AIG Europe Ltd v OC320301 LLP & Ors [2016] EWCA Civ 367 || URS Corporation Limited v BDW Trading Limited (Rev1) [2023] EWCA Civ 189 || Secretary of State for the Home Department v Cox & Ors [2023] EWCA Civ 551 (19 May 2023)",0.72396386 || 0.6932454 || 0.6896033 || 0.67706925 || 0.67543715 || 0.67494655 || 0.6715544 || 0.6616733 || 0.65996414 || 0.6594519
cmm0ckscr000t04i312fc6edg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:32:26.762,cmm0chr9w000n04i37bx1uiqp,2026-02-24 08:30:05.313,latest_search_before_draft,141.449,advanced_qdrant_search,10,10,0.6771353210000002,Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)),0.6911485,4f894b7c-50f6-46f4-b08a-7d5f549411bb || 63f1ceea-1ae6-4e29-9f3b-c354ab3fba11 || af98350e-e553-4a58-8a45-9d7b2067b530 || 0f564d6f-98e5-402b-abc8-a39f1fa33427 || 5d67e6bf-5a94-4298-82ae-1f13fea951bc || a62a842c-af59-45c4-be74-800b0be5e691 || cbf9a2bb-7b6f-41be-ba0f-1a84a1e459e6 || 7d4b37f2-bfb0-4f96-a5c0-d63cd27e8dc3 || cfb9db03-44c0-4604-926a-a76e01575d88 || 8c2741c2-7eeb-471a-91de-bc6accd97a3c,"Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)) || Burnden Holdings (UK) Limited (in Liquidation) v Fielding & Anor [2016] EWCA Civ 557 || Santander UK Plc v R.A. Legal Solicitors [2014] EWCA Civ 183 || Cotton & Anor v Brudenell-Bruce, Earl of Cardigan & Ors [2014] EWCA Civ 1312 || Braintree District Council v Secretary of State for the Home Department & Anor [2023] EWCA Civ 727 (23 June 2023) || Hassam & Anor v Rabot & Anor; Briggs v Laditan [2023] EWCA Civ 19 || Gangat v Jassat & Anor [2022] EWCA Civ 604 || Davies v Ford & Ors [2023] EWCA Civ 167 || Floreat Investment Management Ltd v Churchill & Ors [2023] EWCA Civ 440 || Barnsley & Ors v Noble (Rev1) [2016] EWCA Civ 799 (Court of Appeal, Civil Division)",0.6911485 || 0.6813072 || 0.6768787 || 0.6767256 || 0.6764184 || 0.67637557 || 0.67577374 || 0.67397064 || 0.67215466 || 0.6706002
cmm0ct5sl001504i3x6g18pvd,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:38:57.428,cmm0cqleo000z04i321gtuvf1,2026-02-24 08:36:57.613,latest_search_before_draft,119.815,advanced_qdrant_search,10,10,0.677598682,Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)),0.6911303,4f894b7c-50f6-46f4-b08a-7d5f549411bb || 63f1ceea-1ae6-4e29-9f3b-c354ab3fba11 || 5d67e6bf-5a94-4298-82ae-1f13fea951bc || a62a842c-af59-45c4-be74-800b0be5e691 || af98350e-e553-4a58-8a45-9d7b2067b530 || 0f564d6f-98e5-402b-abc8-a39f1fa33427 || cbf9a2bb-7b6f-41be-ba0f-1a84a1e459e6 || 7d4b37f2-bfb0-4f96-a5c0-d63cd27e8dc3 || cfb9db03-44c0-4604-926a-a76e01575d88 || 18af7f48-3069-4315-8b8e-72156c2f8d15,"Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)) || Burnden Holdings (UK) Limited (in Liquidation) v Fielding & Anor [2016] EWCA Civ 557 || Braintree District Council v Secretary of State for the Home Department & Anor [2023] EWCA Civ 727 (23 June 2023) || Hassam & Anor v Rabot & Anor; Briggs v Laditan [2023] EWCA Civ 19 || Santander UK Plc v R.A. Legal Solicitors [2014] EWCA Civ 183 || Cotton & Anor v Brudenell-Bruce, Earl of Cardigan & Ors [2014] EWCA Civ 1312 || Gangat v Jassat & Anor [2022] EWCA Civ 604 || Davies v Ford & Ors [2023] EWCA Civ 167 || Floreat Investment Management Ltd v Churchill & Ors [2023] EWCA Civ 440 || Boydell v NZP Ltd & Anor [2023] EWCA Civ 373",0.6911303 || 0.68127733 || 0.6777055 || 0.67724633 || 0.67685676 || 0.6767186 || 0.6757672 || 0.6754294 || 0.672137 || 0.6717184
cmm0k3nj8000h04l412ruhfxj,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 12:03:04.29,cmm0k0854000b04l440eijrw0,2026-02-24 12:00:24.289,latest_search_before_draft,160.001,advanced_qdrant_search,10,10,0.669026404,"Finch On Behalf of the Weald Action Group, R (On the Application Of) v Surrey County Council & Ors [2022] EWCA Civ 187",0.72719336,968e5c88-1f2c-4da8-9290-4111f416ec6e || d5d573a1-ee1c-4a42-99b1-728063f8ced3 || 774ce56b-3a21-4d9a-be0f-2e4cd8924a73 || 1d957476-2c0d-4578-8a43-679ec600e382 || f5a5b44e-fcf0-40c0-9bf9-69f026b1b438 || a86c8039-4dcd-41c2-bbee-f72673a10ba2 || 126384c6-71ee-4af8-ae92-223d88b7a66d || 1bbfccbb-15e3-41bb-a970-7167b43b0267 || 9034c8de-ac8c-45a1-9a63-569c390554ca || 776a8070-aa6f-410e-b91e-2e1fcadadb9b,"Finch On Behalf of the Weald Action Group, R (On the Application Of) v Surrey County Council & Ors [2022] EWCA Civ 187 || Friends of the Earth Limited v Secretary of State for International Trade/UK Export Finance (UKEF) & Anor (Rev1) [2023] EWCA Civ 14 || Solar Century Holdings Ltd & Ors v Secretary of State for Energy and Climate Change [2016] EWCA Civ 117 || Wyatt v Fareham Borough Council (Rev1) [2022] EWCA Civ 983 || London Borough of Enfield, R (on the application of) v Secretary of State for Transport & Ors [2016] EWCA Civ 480 || Rotherham Borough Council & Ors v Secretary of State for Business, Innovation And Skills || Mott v Environment Agency [2016] EWCA Civ 564 || Northern Gas Networks Ltd v Commissioners for HMRC [2022] EWCA Civ 910 || Thurston Parish Council, R (On the Application Of) v Mid Suffolk District Council & Anor [2022] EWCA Civ 1417 || Sheakh, R (On the Application Of) v London Borough of Lambeth Council [2022] EWCA Civ 457 (05 April 2022)",0.72719336 || 0.69989425 || 0.6880834 || 0.6745305 || 0.6711145 || 0.6578909 || 0.65662396 || 0.6493245 || 0.6364038 || 0.62920487
cmm3b1g6j000j04jt8w2u9z6w,cmm3awy72000404jtfbucs83q,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,gpt-4o-mini,2026-02-26 10:12:43.433,cmm3azb8t000d04jtx7he2awl,2026-02-26 10:11:03.637,latest_search_before_draft,99.796,advanced_qdrant_search,10,10,0.63831415,"Tigere, R (On the Application Of) v Secretary of State for Business, Innovation And Skills",0.66142374,02409749-c305-4c56-ad34-3447c9c2371b || 7614b7b3-9102-4127-baa4-ed60bb7a82ed || 250a2de0-32f3-4ce2-8b1f-ee964131ee78 || 36166c1f-7b4e-4e19-9f3e-ba06d04ac22a || 57d5bf6b-b5e4-4a29-8fe8-fc6caf7108e9 || 88f81617-3d05-4cec-a001-5edf306bd117 || 9cd8bb4c-43ff-49b2-8bc4-b8df5f3727d6 || 51cdf21d-2e8d-4694-805d-5758e7941b6e || 47e733e4-8b4c-42d7-a983-6af18563acb8 || 720cde29-16c8-41e8-9899-7ac2abcb1cc1,"Tigere, R (On the Application Of) v Secretary of State for Business, Innovation And Skills || Rowan, R (On the Application Of) v Governor of His Majesty's Prison Berwyn & Anor [2023] EWCA Civ 27 || Brooks, R (on the application of) v The Independent Adjudicator & Anor [2016] EWCA Civ 1033 || Smith v Secretary of State for Justice & Ors [2014] EWCA Civ 380 || Abedin, R (On the Application Of) v Secretary of State for the Home Department [2016] EWCA Civ 296 (10 March 2016) || R (on the application of) SPM v Secretary of State for the Home Department [2023] EWCA Civ 764 || Weddle (R on the application of) v The Secretary of State for Justice [2016] EWCA Civ 38 (Court of Appeal, Civil Division) || Hallam & Anor, R (on the applications of) v The Secretary of State for Justice (rev 1) [2016] EWCA Civ 355 || Public and Commercial Services Union (and others) v Secretary of State for the Home Department || FI v Secretary of State for the Home Department [2014] EWCA Civ 1272",0.66142374 || 0.6526506 || 0.6451936 || 0.64379513 || 0.6402496 || 0.6333014 || 0.62763697 || 0.627193 || 0.62614566 || 0.6255518
cmm920v38000b04ib8ug7hazg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-03-02 10:46:56.609,cmm0cqleo000z04i321gtuvf1,2026-02-24 08:36:57.613,latest_search_before_draft,526198.996,advanced_qdrant_search,10,10,0.677598682,Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)),0.6911303,4f894b7c-50f6-46f4-b08a-7d5f549411bb || 63f1ceea-1ae6-4e29-9f3b-c354ab3fba11 || 5d67e6bf-5a94-4298-82ae-1f13fea951bc || a62a842c-af59-45c4-be74-800b0be5e691 || af98350e-e553-4a58-8a45-9d7b2067b530 || 0f564d6f-98e5-402b-abc8-a39f1fa33427 || cbf9a2bb-7b6f-41be-ba0f-1a84a1e459e6 || 7d4b37f2-bfb0-4f96-a5c0-d63cd27e8dc3 || cfb9db03-44c0-4604-926a-a76e01575d88 || 18af7f48-3069-4315-8b8e-72156c2f8d15,"Creggy v Barnett & Anor [2016] EWCA Civ 1004 (Court of Appeal (Civil Division)) || Burnden Holdings (UK) Limited (in Liquidation) v Fielding & Anor [2016] EWCA Civ 557 || Braintree District Council v Secretary of State for the Home Department & Anor [2023] EWCA Civ 727 (23 June 2023) || Hassam & Anor v Rabot & Anor; Briggs v Laditan [2023] EWCA Civ 19 || Santander UK Plc v R.A. Legal Solicitors [2014] EWCA Civ 183 || Cotton & Anor v Brudenell-Bruce, Earl of Cardigan & Ors [2014] EWCA Civ 1312 || Gangat v Jassat & Anor [2022] EWCA Civ 604 || Davies v Ford & Ors [2023] EWCA Civ 167 || Floreat Investment Management Ltd v Churchill & Ors [2023] EWCA Civ 440 || Boydell v NZP Ltd & Anor [2023] EWCA Civ 373",0.6911303 || 0.68127733 || 0.6777055 || 0.67724633 || 0.67685676 || 0.6767186 || 0.6757672 || 0.6754294 || 0.672137 || 0.6717184
